barcode,cycle,QDischarge,Qcharge,RUL,IR,Tmax,Tavg,Tmin,chargetime,Skewness,Kurtosis,IntegralT,Slope,Intercept
EL150800460486,2,1075.3012,1075.0588,2160,17.038831,34.307796,31.66884408,29.853098,13.42605667,0,0,0,0,0
EL150800460486,3,1076.6124,1076.4499,2160,17.009802,34.418705,31.72273994,29.857759,13.34152,0,1,31.69579201,1.3112,1072.6788
EL150800460486,4,1077.2982,1077.1132,2160,16.928403,34.707664,31.74825824,30.133654,13.42583,-0.361502061,1.5,63.4312911,0.9985,1073.408433
EL150800460486,5,1078.1505,1077.7587,2160,16.915262,34.595493,31.77312162,29.960548,13.42609333,-0.290431667,1.821722432,95.19198103,0.92337,1073.60878
EL150800460486,6,1078.544,1078.3504,2160,16.859178,34.626579,31.76723135,30.106787,13.42625,-0.439758377,1.903605169,126.9621575,0.80237,1073.97178
EL150800460486,7,1078.9695,1078.8049,2160,16.852375,34.447521,31.71269063,29.848293,13.42596333,-0.530217706,2.031383592,158.7021185,0.71396,1074.26648
EL150800460486,8,1079.38,1079.1525,2160,16.839281,34.310184,31.71430297,29.871897,13.42607167,-0.577824915,2.147649103,190.4156153,0.649871429,1074.501471
EL150800460486,9,1079.5895,1079.3617,2160,16.874602,34.489933,31.67356442,29.99555,13.34172,-0.65889432,2.258862417,222.109549,0.586470238,1074.755076
EL150800460486,10,1079.7766,1079.5659,2160,16.867684,34.358963,31.66595642,30.065199,13.42640667,-0.741154397,2.383851488,253.7793094,0.530258333,1074.998661
EL150800460486,11,1080.0153,1079.7709,2160,16.88916,34.46941,31.60195867,29.791494,13.42609167,-0.800813654,2.506166323,285.413267,0.485738182,1075.206422
EL150800460486,12,1084.5895,1092.8036,2160,0,34.673786,31.6311567,29.695375,13.34129,0.924705351,4.262315268,317.0298247,0.647293636,1074.398645
EL150800460486,13,1082.3009,1079.1099,2160,16.849255,34.495018,31.59068603,29.823479,13.42608167,0.633183192,3.274671997,348.640746,0.62757972,1074.503785
EL150800460486,14,1081.9396,1080.4566,2160,16.842199,34.43034,31.50268428,29.696899,13.341535,0.419725438,2.855356643,380.1874312,0.583064286,1074.75604
EL150800460486,15,1081.8352,1080.9183,2160,16.924184,33.824818,31.23530761,29.476723,13.425685,0.248505071,2.641285811,411.5564271,0.535441319,1075.041777
EL150800460486,16,1081.9743,1081.2497,2160,16.85242,33.771145,31.21625401,29.462755,13.34118333,0.09981897,2.500597628,442.7822079,0.494577857,1075.300579
EL150800460486,17,1082.0032,1081.4323,2160,16.84615,33.882912,31.22530876,29.322411,13.34149167,-0.029834503,2.428283353,474.0029893,0.456963088,1075.551344
EL150800460486,18,1081.9749,1081.5635,2160,16.867276,33.919044,31.30198845,29.410753,13.34121167,-0.144440625,2.409869872,505.2666379,0.421634069,1075.798648
EL150800460486,19,1081.8729,1081.516,2160,16.879793,34.371075,31.29283386,29.24111,13.341375,-0.246262253,2.43728247,536.5640491,0.387655212,1076.047826
EL150800460486,20,1081.8582,1081.542,2160,16.865704,34.231895,31.35624973,29.244019,13.34181167,-0.339135423,2.488752708,567.8885909,0.356980526,1076.282998
EL150800460486,21,1081.8721,1081.6178,2160,16.848492,34.072666,31.27763019,29.339848,13.34154,-0.425108522,2.555844859,599.2055308,0.329730677,1076.500997
EL150800460486,22,1081.9227,1081.6784,2160,16.865563,34.101273,31.34853816,29.400738,13.42586833,-0.505717148,2.63205394,630.518615,0.305933636,1076.699306
EL150800460486,23,1081.9179,1081.7027,2160,16.898695,34.251583,31.359075,29.510458,13.42595,-0.581138082,2.719854432,661.8724216,0.284377753,1076.886124
EL150800460486,24,1082.0436,1081.8021,2160,16.915269,34.340435,31.37927711,29.569324,13.34178333,-0.652925456,2.807180461,693.2415976,0.266251779,1077.049257
EL150800460486,25,1082.0177,1081.8515,2160,16.898235,34.349102,31.38868604,29.556892,13.42584167,-0.720714827,2.904857071,724.6255792,0.249373261,1077.20679
EL150800460486,26,1082.0863,1081.9179,2160,16.927879,34.200966,31.3779083,29.582666,13.42592833,-0.785228252,3.004517765,756.0088764,0.234565308,1077.349934
EL150800460486,27,1082.1023,1081.9485,2160,16.943928,34.081303,31.3336551,29.60033,13.34104167,-0.846716708,3.10917362,787.3646581,0.221053368,1077.485053
EL150800460486,28,1082.0186,1081.8509,2160,16.916716,33.98497,31.29765079,29.729218,13.4257,-0.905398575,3.224226713,818.680311,0.207910928,1077.620858
EL150800460486,29,1081.9744,1081.8087,2160,16.921116,33.94096,31.20173413,29.322596,13.34125167,-0.961488868,3.345647065,849.9300035,0.195527614,1077.752947
EL150800460486,30,1081.928,1081.8278,2160,16.912661,33.869808,31.16074336,29.487072,13.341135,-1.015137592,3.472523024,881.1112422,0.183867094,1077.881213
EL150800460486,31,1081.9486,1081.8098,2160,16.881937,33.97496,31.19230095,29.398109,13.42558833,-1.067024888,3.600960241,912.2877644,0.173334883,1078.000578
