barcode,cycle,QDischarge,Qcharge,RUL,IR,Tmax,Tavg,Tmin,chargetime,Skewness,Kurtosis,IntegralT,Slope,Intercept
el150800460613,1,1066.1633,1066.2235,487,17.350584,36.437531,32.36808171,30.063963,10.10178667,0,0,0,0,0
el150800460613,2,1070.4726,1070.2372,487,17.153347,36.90921,32.76701842,30.414738,10.097235,-1.58E-13,1,32.56755007,4.3093,1061.854
el150800460613,3,1071.7604,1071.4923,487,17.201968,36.90163,32.73066343,30.132044,10.09675667,-0.556694554,1.5,65.31639099,2.79855,1063.868333
el150800460613,4,1072.4554,1072.2325,487,17.128119,36.817158,32.65287997,30.32444,10.09718,-0.880563695,2.102299659,98.00816269,2.01641,1065.1719
el150800460613,5,1073.2507,1073.0867,487,17.017327,36.780483,32.8553863,30.473221,10.09704667,-1.042062126,2.624007253,130.7622958,1.61576,1065.9732
el150800460613,6,1073.3266,1073.2412,487,17.109172,36.705673,32.57890357,29.975254,10.09735167,-1.2431171,3.157382262,163.4794408,1.281308571,1066.753587
el150800460613,7,1073.5512,1073.4178,487,17.095776,36.653172,32.42393764,29.95118,10.09746167,-1.411729182,3.684167642,195.9808614,1.048642857,1067.374029
el150800460613,8,1073.8926,1073.7978,487,16.983535,36.711067,32.58003657,30.020033,10.1813,-1.533312486,4.153737067,228.4828485,0.892761905,1067.841671
el150800460613,9,1073.8957,1073.7945,487,17.074864,36.618301,32.40815378,29.807507,10.18085,-1.665667327,4.652921249,260.9769437,0.760706667,1068.281856
el150800460613,10,1073.9754,1073.8811,487,17.056372,36.785988,32.44509159,29.989138,10.09746333,-1.789366088,5.152976917,293.4035663,0.656332727,1068.66456
el150800460613,11,1074.2947,1074.1831,487,17.014485,36.546368,32.55714437,29.81229,10.18062,-1.873960298,5.573234471,325.9046843,0.584081818,1068.953564
el150800460613,12,1074.2788,1074.1681,487,17.091684,36.468456,32.35449963,29.494123,10.09758167,-1.968391862,6.020446083,358.3605063,0.519322378,1069.234188
el150800460613,13,1074.5759,1074.4158,487,17.063063,37.140881,32.60158187,29.985823,10.18024167,-2.028912098,6.382626002,390.8385471,0.472856044,1069.451031
el150800460613,14,1074.7776,1074.6918,487,16.970186,36.946789,32.81320079,30.122391,10.18063167,-2.071462154,6.690692215,423.5459384,0.435901319,1069.635804
el150800460613,15,1074.8364,1074.7569,487,17.025298,36.803612,32.64901824,29.95075,10.18047,-2.11817161,7.001056245,456.2770479,0.402453214,1069.814194
el150800460613,16,1075.2119,1075.1173,487,16.991919,37.09137,32.81849023,30.182507,10.09700833,-2.120549681,7.180383014,489.0108021,0.379477941,1069.944388
el150800460613,17,1075.0312,1074.914,487,16.972438,36.845016,32.7777095,30.115108,10.09724833,-2.165087475,7.465199513,521.808902,0.352726716,1070.104895
el150800460613,18,1075.0459,1074.9356,487,16.994406,37.072781,32.71535712,29.989597,10.18051333,-2.214130667,7.763021944,554.5554353,0.328023633,1070.261348
el150800460613,19,1075.2492,1075.1493,487,16.934354,37.101574,32.80398956,30.478376,10.09721,-2.245240295,8.001384327,587.3151087,0.308372105,1070.392358
el150800460613,20,1075.1644,1075.0539,487,16.969362,36.983501,32.76939901,30.041714,10.18016,-2.291805358,8.288960119,620.101803,0.28843782,1070.531898
el150800460613,21,1075.0977,1074.9841,487,16.965969,36.840988,32.59947488,30.232815,10.18052667,-2.346948539,8.610451123,652.7862399,0.269069091,1070.673935
el150800460613,22,1075.4081,1075.328,487,16.83791,37.118587,32.77707835,30.532856,10.09722167,-2.374379518,8.832629886,685.4745165,0.255013495,1070.781695
el150800460613,23,1075.1705,1075.099,487,16.965054,36.747601,32.57010733,30.071468,10.18038167,-2.427481377,9.150445505,718.1481093,0.238964526,1070.910087
el150800460613,24,1074.9607,1074.8847,487,16.995737,36.451405,32.36500629,29.863478,10.09708833,-2.493121946,9.530034521,750.6156662,0.222119174,1071.050464
el150800460613,25,1075.2048,1075.1195,487,16.933002,36.716076,32.59182137,30.15976,10.18066,-2.543643298,9.848057788,783.09408,0.209208615,1071.162356
el150800460613,26,1075.0747,1074.9713,487,17.015094,36.703327,32.44926648,29.921982,10.18066,-2.602137553,10.20736687,815.6146239,0.19615665,1071.279824
el150800460613,27,1075.1163,1075.0321,487,17.040687,36.482647,32.49959901,29.935837,10.09731167,-2.657751211,10.55923408,848.0890567,0.184571306,1071.387954
el150800460613,28,1075.4603,1075.3285,487,16.871607,36.877419,32.79798231,30.272398,10.097045,-2.688775896,10.80534353,880.7378473,0.176475369,1071.466214
el150800460613,29,1075.2534,1075.2062,487,16.961541,36.806622,32.57220402,30.158609,10.09710333,-2.736686839,11.12744177,913.4229405,0.167298818,1071.55798
el150800460613,30,1075.0756,1074.9816,487,16.976714,36.927528,32.51849453,30.129768,10.09703167,-2.793121733,11.49801429,945.9682898,0.157612725,1071.658069
el150800460613,31,1075.2754,1075.1957,487,16.958738,36.711586,32.58434768,30.009138,10.09719333,-2.839064819,11.8194602,978.5197109,0.149939355,1071.739919
el150800460613,32,1075.1803,1075.1021,487,17.095074,36.713871,32.3905097,29.654409,10.09721333,-2.88976583,12.1695674,1011.00714,0.142225275,1071.824774
el150800460613,33,1075.2257,1075.054,487,17.01236,36.997372,32.45140478,29.901819,10.09714,-2.93778784,12.51003543,1043.428097,0.135313469,1071.903107
el150800460613,34,1075.2454,1075.0986,487,17.007703,36.802799,32.4566818,29.664576,10.09723833,-2.984444529,12.84737409,1075.88214,0.12896877,1071.977129
el150800460613,35,1075.3125,1075.212,487,17.027713,37.039501,32.35870675,29.816605,10.096785,-3.027302519,13.16806778,1108.289834,0.123356695,1072.044474
el150800460613,36,1075.4076,1075.2887,487,16.919464,37.051395,32.5133403,30.139277,10.09693,-3.064516706,13.46194552,1140.725858,0.118502124,1072.104347
el150800460613,37,1075.4566,1075.3419,487,16.999314,37.058887,32.6345556,29.97105,10.18043167,-3.098858296,13.74275346,1173.299806,0.114096752,1072.160148
el150800460613,38,1075.3716,1075.2709,487,16.952217,37.094307,32.60602146,30.319456,10.180475,-3.138556182,14.05384856,1205.920094,0.109545235,1072.219318
el150800460613,39,1075.5085,1075.4197,487,16.906604,37.045002,32.75879209,30.554789,10.18049,-3.170010111,14.3228565,1238.602501,0.10576415,1072.269732
el150800460613,40,1075.3547,1075.2562,487,16.899886,36.790833,32.67273263,30.199526,10.180325,-3.210549379,14.6433147,1271.318264,0.101572936,1072.327012
el150800460613,41,1075.2994,1075.1841,487,17.01379,36.736591,32.54999773,29.801144,10.18067333,-3.253262616,14.97984909,1303.929629,0.097419268,1072.385164
